exporter,h,current_mt,current_lo,current_hi,harm_log_mt,harm_log_lo,harm_log_hi,harm_lvl_mt,harm_lvl_lo,harm_lvl_hi
USA,16,0.14265896567192776,-1.7661689784793655,1.8815821966850201,-0.06913578567820462,-4.122103043628309,4.1979440923821105,-0.01986786046833059,-4.332998649592675,4.409217310517544
USA,17,0.05102268150423247,-1.80494007275942,1.781033568700295,0.23447486482433982,-4.099651920128912,4.105852247938442,-0.2064855207093301,-4.3012295805201965,4.34611300186211
USA,18,0.3424251886831647,-1.80116075969941,1.873833371573735,1.494765399139852,-3.9607585044503066,4.033872157128953,1.3735513124291499,-4.142752405418902,4.321805081758763
Colombia,0,-0.3114797102786879,-1.3621937616286726,0.7429409313910407,0.18117752737687842,-3.052608309781619,2.009537454115541,-0.453668011953741,-3.588090499284495,1.638140506256079
Colombia,1,1.3235479897740137,0.1449420150795394,2.190103631349701,1.872569639986926,-0.23345644504794705,4.719683806795117,2.2899849197107924,-0.16798270071459903,4.721837607371796
Colombia,2,-0.40406433603067515,-1.6856726771504191,0.8972222335846176,0.18182762847628692,-3.466842666367169,2.2004684591951325,1.0521038795624365,-2.9195132713472005,2.7260050066196584
Colombia,3,-0.11955037226210571,-1.2560259052253007,1.1855875190056693,0.33517088259121364,-1.9434666798285374,3.3207029895445777,0.4899898217147832,-1.929688023065093,3.369244746337027
Colombia,4,0.5441275783369596,-1.0765971008579611,1.5990432207543688,0.633855704505307,-3.233241045865153,3.034924682733129,0.7830053710747525,-3.2553316989568906,3.324181988001416
Colombia,5,0.6963790540189916,-1.1886288735297508,1.845281379941277,1.9258819579025346,-3.2444552374313194,3.8195266223017748,2.376908817900229,-2.878389504136283,4.461540219281158
Colombia,6,0.1415922664589954,-1.7449841580655274,1.3737688847312495,0.9452621520147366,-4.008092440318947,3.207235378719239,1.9224977844578859,-3.141106477669586,3.7683473376382497
Colombia,7,-0.5282650937812998,-1.8311510524116774,1.147677888323091,-0.803251426464298,-4.454761105430516,2.550128524795899,-0.598095502249897,-3.943736311463794,2.6186863792288477
Colombia,8,0.21757777142294069,-1.4239018198800062,1.48112662963458,0.755777026997718,-3.3628840593706606,3.5307944044762247,1.7419961344369543,-3.1350259208012927,4.456128559514793
Colombia,9,0.2526900965524522,-1.5702964849968777,1.594127652572776,1.1079347674424025,-3.8487478527486108,3.6823557431747322,2.0962897932826725,-3.391271453132687,4.40370677014441
Colombia,10,-0.10074439969845549,-1.5395401521618715,1.4583300015806884,0.016568978748414384,-3.440084126907532,3.2179702267018513,-0.13442323672933115,-3.273790438516231,3.2902931317349737
Colombia,11,1.1451422530082542,-1.3870508939442292,1.4892149680044904,1.9603460619051623,-3.4457618131985215,3.482920242808434,2.0889974145606756,-3.2987325812463126,3.753928505568186
Colombia,12,0.2833502790512308,-1.4431262068087036,1.5102405326032582,1.1864498265828167,-3.5371611890765573,3.2947226143698733,1.0808574599104177,-3.4083346516850517,3.5743768508005545
Colombia,13,-0.01940205476350589,-1.5224768360180612,1.4258519479421552,0.4173261041092945,-3.4498441522897787,3.3257620725191135,0.34713225243461393,-3.3836150173406625,3.5402682633829956
Colombia,14,-1.8752740539574821,-1.44323427853647,1.5930143095156617,-1.977527220904453,-3.5180279717457705,3.3293935732512128,-1.4465085973637686,-3.4352492668915358,3.5128557946303594
Colombia,15,0.9237916446886628,-1.514979006127717,1.5231958344438827,1.2234111705556319,-3.482052337860191,3.5001439552938116,1.0540887816543134,-3.3711502904860886,3.706887757423036
Colombia,16,0.1520556429710739,-1.4340852180963743,1.4634019753584315,0.4926837010950213,-3.6233759192050323,3.3140532593485523,0.5483388494005358,-3.4713836477238025,3.562451361709306
Colombia,17,0.3019623275398203,-1.6085403893572505,1.4198928306951657,0.8487063651540391,-3.4648177959343083,3.376099846546153,0.2644331927265822,-3.3542600018723734,3.6128759968221686
Colombia,18,0.5106737966969074,-1.5762946763409742,1.4963329534970011,1.2152590831474193,-3.575465013481431,3.356405895938905,0.9006197332987604,-3.319206887190049,3.5683475534763227
Canada,0,-0.0372940405606037,-0.31339087518408637,0.2976330503660466,-0.19541866510292646,-0.8744787155228554,0.21182846317592174,-0.23333293580818318,-0.8195245524725683,0.13742647674506897
Canada,1,0.2929171803625669,-0.05618308261304404,0.5530843763948374,0.0402526177710728,-0.4221071635554664,0.5622832348087754,-0.006679161448884383,-0.44371031292280505,0.43228893872443946
Canada,2,-0.04048482002430033,-0.37480618824921774,0.3096002747339857,-0.2531257997805079,-0.8230096988154412,0.3184015090674986,-0.29394733032103854,-0.8007289403898792,0.2402887819414029
Canada,3,-0.27984431952110195,-0.4387005138019743,0.1816702940674961,-0.31687235373393846,-0.9503941482122105,0.33493161156082474,-0.36300661897630465,-0.9243982378463258,0.24200652451236795
Canada,4,-0.04029738318565953,-0.2830707591071784,0.3082635422350365,0.05536284775942451,-0.5324801763324751,0.5983899494138736,-0.007718421621493526,-0.5176465623791073,0.5294094019831217
Canada,5,0.2375860345964326,-0.17889651786598404,0.46884060402863376,0.27587597518293183,-0.5183141236903376,0.7427654285110805,0.2590830474025441,-0.4900279565564603,0.7129747297965855
Canada,6,0.03633980391439758,-0.32808177488423873,0.39364551954154137,-0.038020497723539014,-0.6905678844969745,0.7435030164873457,-0.026275118415347232,-0.6354420996465302,0.6978908264460533
Canada,7,-0.06671615464071907,-0.341145131696881,0.3907937843930085,-0.13608558158803483,-0.710754110730118,0.8605206724093991,-0.12159873477000555,-0.6353964408075764,0.8243114963768113
Canada,8,-0.1374721644960333,-0.4240160289611494,0.3790654207293322,0.032620376833168256,-0.7944946282019305,0.7151177054620288,-0.005238026269884055,-0.7269179759815687,0.6718959400675122
Canada,9,0.013370147200578686,-0.40087920732956384,0.43915109191504914,0.27127769304522475,-0.6766668483997987,0.792970720210672,0.2475656084464688,-0.6129279111240806,0.742103745007875
Canada,10,0.06728401907959625,-0.37585709677784856,0.45289585735063775,0.19889008362308402,-0.7558888796195383,0.7903313529526715,0.217334598963569,-0.6633849774095548,0.7741967559624789
Canada,11,-0.2958391360652184,-0.43154436991671224,0.42828355331047535,-0.3070458256060676,-0.8340018376083168,0.7421331600540532,-0.2486446749607836,-0.7477934991581461,0.705173576974955
Canada,12,-0.19705207832584734,-0.4329025655275051,0.42618668717687064,-0.22904353294352672,-0.8133777681326159,0.7401735647322758,-0.23248279552817236,-0.7339616934201951,0.7009711416977489
Canada,13,0.23024599346776467,-0.42728420207432805,0.42287805755992086,0.2865897793942243,-0.7938793560386839,0.7592745590192236,0.23727446506734462,-0.7036153200537076,0.7252586071564481
Canada,14,-0.08255447771268438,-0.4385927995428561,0.42399596198583417,-0.14863654654553912,-0.7992129497286538,0.7479499882209938,-0.16672313202259922,-0.7267556472326696,0.7130699033260882
Canada,15,-0.05622995650322543,-0.4336389512741814,0.42717914416820885,-0.0915695758238191,-0.8205853981146585,0.7571112848980805,-0.10443119385600337,-0.7370140816773949,0.7232509826571906
Canada,16,-0.024548634065609223,-0.48183425376032735,0.4147536251237482,0.009529677606257291,-0.8307689769058165,0.767421487640572,0.0172369926743879,-0.7517997232462187,0.7350136830900679
Canada,17,0.06084743604988499,-0.42590794602435217,0.4114293981941308,0.29372673677507877,-0.8286170028649632,0.7523454875304219,0.23982763923450037,-0.7407544169456229,0.7227887826378377
Canada,18,0.04617341895288762,-0.4313811091864972,0.3801078834484719,-0.01726745716059187,-0.810234330828709,0.8096545027417932,-0.008690442438560772,-0.7278151372007645,0.7695867552702891
