date,gas_europe_real,lng_japan_real,log_gas_europe,log_lng_japan
2017-03,5.453418024107525,8.998139739777416,1.6962425724789676,2.197017860391457
2017-04,5.457589360846148,9.542611337527397,1.6970071832604796,2.2557671731120066
2017-05,5.516325835152129,9.920665039502842,1.7077120290987164,2.2946199593221466
2017-06,5.32752316322886,9.674520590894128,1.6728864328420674,2.2694956863593654
2017-07,5.445580953131236,9.649569448948549,1.6948044454833817,2.266913297666271
2017-08,5.945474814706783,9.677670683792792,1.7826303948604179,2.2698212404924116
2017-09,6.433394908405356,9.326263759835953,1.8615023784516447,2.2328344801903506
2017-10,6.665702949069609,8.963105421807194,1.89697541679686,2.1931167541946177
2017-11,7.196584689863786,9.089856596315244,1.9736065648530787,2.207159132082024
2017-12,7.664511616127532,9.285437742227334,2.036600794198261,2.2284473387905557
2018-01,7.1189708962740434,9.983661887567502,1.9627631779372374,2.3009499456256908
2018-02,7.163818708930384,10.479216950712155,1.9690431780338205,2.3493939576578375
2018-03,7.141124136061206,10.775636569489372,1.965870205984177,2.3772877126196366
2018-04,7.367080330370369,10.726383915358879,1.9970214717229933,2.372706492886699
2018-05,7.944461757336667,10.871926970988095,2.072475051606543,2.386183959661832
2018-06,7.894920255982011,11.063485566772105,2.0662195470843345,2.403650097147359
2018-07,8.047594655067636,11.054853710382384,2.0853732461679586,2.4028695813301657
2018-08,8.540599001191204,11.500212516455484,2.1448311459954454,2.442365514890238
2018-09,10.041976567370565,11.919573026395735,2.3067739641473897,2.478181841062411
2018-10,9.250309213509572,12.270603575599731,2.224656979453136,2.5072064486783967
2018-11,8.7092111353743,12.321374883177667,2.1643812167712326,2.511335549539343
2018-12,8.39805776015884,12.628658285953144,2.1280004600853175,2.5359686984116006
2019-01,7.646570063169444,12.649491247750003,2.034257189540424,2.5376169967956113
2019-02,6.3110707232391965,12.401621504401817,1.8423053488836625,2.517827230545817
2019-03,5.418998374882963,11.810905724407075,1.6899109966915098,2.4690233185816886
2019-04,5.127723720192382,10.703602155767431,1.6346618414494123,2.370580334885662
2019-05,4.522119754882682,10.575925233193368,1.508980856230168,2.358580213605651
2019-06,3.7418639749236284,10.464711506471652,1.3195838762888972,2.348008788052293
2019-07,3.764445159946357,10.534207035982485,1.3256004825160108,2.354627774938923
2019-08,3.8233418001742936,11.283014116818702,1.3411248569888414,2.423298419313791
2019-09,4.367265585911954,10.518782195046844,1.4741370892128975,2.3531624396816446
2019-10,5.234218930530069,10.323617574444683,1.655217631763939,2.3344342387879378
2019-11,5.312361144558888,10.356525415800238,1.6700363964141474,2.3376167960020857
2019-12,4.751813813369386,10.347023152055417,1.5585264006045,2.336698860182446
2020-01,3.7264070932865705,10.152662851957075,1.3154445236687153,2.317736021026577
2020-02,2.985867721211719,10.147845966592405,1.0938903984745605,2.31726146292578
2020-03,2.8036101599225964,10.52384549000357,1.0309079295219707,2.353643681390639
2020-04,2.2026117523743447,10.400067755314712,0.7896438164170038,2.3418123210602118
2020-05,1.6430451250594595,10.482211937088199,0.49655130371720657,2.349679719321554
2020-06,1.8110494007106674,9.282921785356965,0.5939064566687529,2.228176344804035
2020-07,1.8533481852078857,8.02087909042746,0.6169938331636498,2.0820480281441873
2020-08,2.9338172593931025,6.503636861731563,1.0763043940023096,1.872361537619683
2020-09,4.041337295050133,6.015965391112603,1.3965756508264056,1.7944168338239106
2020-10,4.99688473796937,6.315081325286442,1.6088146658501645,1.8429406338329832
2020-11,4.934569979096673,6.994039267893219,1.5962655321276389,1.9450582531368925
2020-12,5.948645361209567,7.775874311751755,1.7831635232517553,2.0510259034153338
2021-01,7.361938245065836,9.113816259366235,1.9963232465850316,2.209791532375823
2021-02,6.21679069805371,9.971086379345888,1.827253808652239,2.299689542866587
2021-03,6.1542461163336695,7.931247034100488,1.8171422690045538,2.0708102785294096
2021-04,7.1337753872338086,8.261211217663766,1.9648406016125881,2.11157121330384
2021-05,8.831186182459012,8.841097726996002,2.1782893410929853,2.179411046202185
2021-06,10.1232302467187,9.454900482857658,2.3148328072674365,2.246533176709461
2021-07,12.238822896020094,10.135428073762444,2.504613103833872,2.3160370161863892
2021-08,15.052732762245896,10.535937383814368,2.7115595535982044,2.354792021353309
2021-09,22.181175171641662,11.110010681417716,3.099243963910971,2.4078465650748133
2021-10,29.8664965772854,11.908123273004614,3.3967373363395965,2.4772207952165592
2021-11,26.3415856888044,14.544141265541892,3.271148895292981,2.6771882503652553
2021-12,36.021016890324624,14.510701518794985,3.5841025706187386,2.6748864129910155
2022-01,26.606267019228202,13.830363146230088,3.2811467902644313,2.626866403193836
2022-02,25.460194117730243,15.895089974344993,3.2371162175200787,2.7660102548906265
2022-03,39.197570005008075,13.972051964512195,3.6686147552068165,2.637059046126919
2022-04,29.683463756562645,15.01688275137905,3.390590114878098,2.7091750849416893
2022-05,26.637610617455938,15.231928183036167,3.2823241501127227,2.7233937631636933
2022-06,30.266317574675515,14.005837661940127,3.410035462996263,2.6394742185578526
2022-07,46.29922134663443,17.029598656233354,3.8351251433834808,2.8349529275286236
2022-08,63.13609003998259,19.11930996213636,4.145292555966637,2.950698817125576
2022-09,53.04938514945276,21.30053992549093,3.9712232749730867,3.0587324210087066
2022-10,34.83029393354141,19.494967183714618,3.550487523433355,2.970156339115094
2022-11,31.801495670102877,17.44096585042876,3.4595133223311176,2.8588217982792687
2022-12,32.08145234488421,18.319541877295144,3.468278054569682,2.9079683522354483
2023-01,17.868523187460926,17.877377757920524,2.8830406837563505,2.8835361011556335
2023-02,14.595418660001565,16.25439006754709,2.6807076890609265,2.788363030292542
2023-03,12.171400828198887,14.127990968575538,2.499089005404028,2.648158004604289
2023-04,11.875519680698542,12.622131494943641,2.474479111548291,2.535451741024407
2023-05,8.865972980620203,11.777449765551863,2.1822206887906073,2.4661866662933734
2023-06,9.05613955108238,11.094864686736674,2.203442931134763,2.4064823604324648
2023-07,8.339825825517494,11.343909683086098,2.1210423319220606,2.42868100811193
2023-08,9.724978189865281,10.89823293126994,2.2746976468146203,2.388600659695561
2023-09,9.998841485762998,10.570203856378027,2.302469234859051,2.3580390860138616
2023-10,12.5960402921573,10.910228447977016,2.5333825020394176,2.3897007389453715
2023-11,12.508504008709654,10.980550102883837,2.526408733691808,2.396125535271193
2023-12,9.916932497301707,12.441399240750359,2.294243649414835,2.5210295601457235
2024-01,8.211373967357003,12.317060951035504,2.1055202623682483,2.510985370476413
2024-02,6.9717153165418875,11.667999621795257,1.9418612944290847,2.4568500195916294
2024-03,7.281618079808966,11.23327982136611,1.9853531012216983,2.4188807850022527
2024-04,7.724741831243645,10.095702195288725,2.0444284023216164,2.3121098080667277
2024-05,8.595868566012356,10.32863258524805,2.15128168852986,2.3349199012085613
2024-06,9.236777872986751,10.307462336644832,2.2231931097936393,2.3328681316164803
2024-07,8.780183020269092,10.595602504653233,2.1724972525629225,2.360439056989031
2024-08,10.477330594251944,11.281976031967332,2.3492139321587655,2.423206410866612
2024-09,9.956363152463522,10.962141773128344,2.2982118595797285,2.3944476796846406
2024-10,10.88877947430029,10.568521254467926,2.3877328530053235,2.357879889855642
2024-11,11.706722470231611,10.77388241696836,2.460163246906774,2.377124910607584
2024-12,11.608433205045191,10.586623067227361,2.4517318344104435,2.359591229367398
2025-01,12.226234631358926,11.000275224258132,2.503584022601751,2.397920292872469
2025-02,12.764611213626544,10.634402301834891,2.546676593012738,2.3640942460230168
2025-03,11.01352232309819,10.439554770006215,2.399123819925043,2.3456019349939736
2025-04,9.625429677645458,10.53066853430064,2.264408521010725,2.3542918126681447
2025-05,9.673959849702122,10.22154248270413,2.2694377240616146,2.3244975012446423
2025-06,10.237004063315926,10.071490658896913,2.3260090048620374,2.3097087254570767
2025-07,9.594419844186156,9.833867499505777,2.2611816632424735,2.285832295185917
2025-08,9.174398341062574,9.701000577679617,2.216416815884454,2.2722290325276053
2025-09,9.122793393600661,9.409931674874064,2.210776050346034,2.241765692664877
2025-10,NaN,NaN,NaN,NaN
2025-11,8.527005041745932,9.124386393039075,2.1432381910281713,2.2109506526090783
2025-12,7.734741096652646,9.235998862247675,2.0457220117974386,2.2231087683055453
2026-01,9.578630897602505,9.35871335148408,2.259534669202207,2.2363078185923904
2026-02,9.1307067263107,9.195693962796897,2.211643098654995,2.2187353269644867
2026-03,14.424227255591354,9.197357635893539,2.6689092411562245,2.218916229311468
2026-04,12.33186659295147,12.523926812439358,2.512186692008162,2.5276409596622997
2026-05,12.879149955329634,10.258716847535293,2.555609721241277,2.3281277683284687
2026-06,12.133929353347012,10.26224875434688,2.496005607296713,2.3284719925638173
2026-07,NaN,NaN,NaN,NaN
