object,h,point,se_ols,se_nw,mbb_lo90,mbb_hi90,wild_lo90,wild_hi90,dwb_lo90,dwb_hi90,implied_SE_from_block,note,seed,nboot,block
exporter_log_Indonesia,1,0.08793722738406613,0.05081513176656666,0.05102934237277279,-0.027067650327022356,0.21338009679907824,0.014383811849349606,0.1646765395928985,0.010618892888437637,0.16231082563371652,0.07308442161887556,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Indonesia,1,2.5426749274844016,1.4693021979798835,1.4754960245741966,-0.7826518742948834,6.169812698160186,0.4159030121709435,4.761565958169219,0.3070416649270563,4.693162146171141,2.1132111162477414,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Indonesia,3,0.05337758223649022,0.05290211314431398,0.04090565056340414,-0.06301205761561043,0.19096911378662756,-0.006839006425970588,0.11410963318294279,-0.005665134838260988,0.11383048771610493,0.0771979244383702,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Indonesia,3,1.5433945790637094,1.5296465524834517,1.182772929896264,-1.8219721475713282,5.521806770509544,-0.1977475374822996,3.299441111686489,-0.16380544102388506,3.2913697157514137,2.232151646833092,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Indonesia,6,0.044541878503883504,0.04965193593573988,0.020267624192352632,-0.08290857216415212,0.15565853072516392,0.006767533330893091,0.08395094214576626,0.010855198871535588,0.07627230881460245,0.07251279723079515,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Indonesia,6,1.2879132201910024,1.435668787389393,0.5860314386362956,-2.397273077471608,4.500813308512954,0.19568091732324522,2.4274128498553442,0.3138743718057199,2.2053877868723606,2.096682792092572,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Indonesia,12,-0.11336001825521275,0.051144785498400444,0.09916789383960632,-0.12915772555606844,0.12960893221454112,-0.2577770722475381,0.03054838487460552,-0.2771031715537775,0.04489369736360384,0.07865247956553482,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Indonesia,12,-3.2777662518039654,1.4788340231649624,2.86740581638,-3.7345515685639232,3.7475980551514723,-7.453536095941478,0.8832961261850917,-8.012343663724227,1.2980859424866469,2.274209612071549,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_USA,0,0.03418523222407495,0.06937865677290177,0.07886196795010805,-0.16324594979647658,0.16568012507312554,-0.0963162611815655,0.1619979201354085,-0.10992077251521992,0.171714596508264,0.09997753035550216,03-style binary z; no REA,20260906,1000,12
exporter_Mt_USA,0,0.2588024964762019,0.5252376072012599,0.5970319010482156,-1.2358687245425053,1.2542968760416122,-0.7291712597315131,1.2264203993170504,-0.8321654846474101,1.299981406194615,0.756889240299124,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_USA,1,0.11446435100427726,0.0838048796489867,0.052938949398489074,-0.0595426938456632,0.25767696450547706,0.02233400303337757,0.20469220247950923,0.026550222110005812,0.19603820512247827,0.09641934904289977,03-style binary z; no REA,20260906,1000,12
exporter_Mt_USA,1,0.8665630703708586,0.6344526761696527,0.40077926560076305,-0.45077353031182477,1.9507675496047236,0.16908165793516383,1.5496414552246818,0.2010009386224988,1.484125559184614,0.729951696023267,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_USA,3,0.05595575096851676,0.1014828506713321,0.07223156274172597,-0.15828465978050224,0.24781136342183144,-0.0695195709617391,0.17752226476885463,-0.06102955670965543,0.17952315076047742,0.12343344170283699,03-style binary z; no REA,20260906,1000,12
exporter_Mt_USA,3,0.4236182439227135,0.768285408480154,0.5468357985519562,-1.1983088146533352,1.876079094281384,-0.5263044112416998,1.34394890171123,-0.4620299646281594,1.3590967961705094,0.9344644100105529,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_USA,6,-0.021870114498232344,0.11133142164014218,0.057912133559652704,-0.22242430550651993,0.21457939894283326,-0.11252002240524454,0.06433816900398043,-0.11219623899648928,0.06865073020631506,0.13282787369281251,03-style binary z; no REA,20260906,1000,12
exporter_Mt_USA,6,-0.165569746411634,0.8428449357270124,0.4384292212280539,-1.683883998937218,1.624493400388795,-0.8518433489396445,0.4870781233193304,-0.8493921163736589,0.5197267710762,1.0055858356614022,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_USA,12,0.08421720543123185,0.13568957910768695,0.0858776634202546,-0.24427020646243286,0.23652253900299233,-0.05617139018118722,0.23818357372121718,-0.09604010409000333,0.2675774928711046,0.1461376126034727,03-style binary z; no REA,20260906,1000,12
exporter_Mt_USA,12,0.6375742270518315,1.0272506440410683,0.6501448794913463,-1.8492704344630368,1.7906159936440407,-0.4252507607420077,1.8031910122658974,-0.7270805866523475,2.0257204251816043,1.1063484583912089,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Colombia,0,-0.05443799310705772,0.11985933778767326,0.09213556585237255,-0.23254866902821614,0.12108498740978724,-0.20474390258175978,0.09266359820683606,-0.2100082575271844,0.09936062270471145,0.10748743356778218,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Colombia,0,-0.3114797102786879,0.6858032355248536,0.5271751899747994,-1.3305816015692242,0.692816076509797,-1.1714901269794677,0.5301964505944299,-1.201611365100431,0.5685150426524656,0.6150144918173317,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Colombia,1,0.23131938924597026,0.1176412280693765,0.07996880852591681,0.02884685753095531,0.395677755475565,0.0672631267627432,0.3923671412619483,0.14067538788907397,0.3127400770425568,0.1114987531746534,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Colombia,1,1.3235479897740137,0.6731118019691987,0.4575602422006829,0.1650540424685061,2.2639628245823795,0.38486171221072557,2.245020371026572,0.8049071349279773,1.7894154988075954,0.6379661951713901,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Colombia,3,-0.020894081143608894,0.11750164674476984,0.0965545534513815,-0.2135944999869476,0.213343310892834,-0.21264713476245456,0.16831943413332176,-0.15708967295903167,0.11407318053246779,0.1297683315744017,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Colombia,3,-0.1195503722621057,0.6723131547732358,0.5524594610969465,-1.2221308901343424,1.2206936529807648,-1.2167103184194212,0.9630790112893162,-0.8988253061575366,0.6526963834420814,0.742499861129212,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Colombia,6,0.024746391405754648,0.12778185118059796,0.11703271851234148,-0.29137601157784215,0.24778955166202934,-0.19707587256186682,0.2512033675496071,-0.1468475408379645,0.1943765103162523,0.16388011040725578,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Colombia,6,0.1415922664589954,0.7311337489303391,0.6696300722119255,-1.6671760013257988,1.4177858763086646,-1.1276156997149018,1.4373188223802869,-0.8402225516542218,1.1121706672621492,0.9376783822597153,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Colombia,12,0.04952175062726451,0.1355365464764835,0.1286123173067027,-0.2737863846029449,0.2456549193934284,-0.1927630953098528,0.2977017527396558,-0.15334708961912769,0.24802415990076668,0.1578848948317244,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Colombia,12,0.2833502790512307,0.7755040518419792,0.735885455111841,-1.5665328364817797,1.405572078506314,-1.102939135935043,1.7033702089356353,-0.8774112402107153,1.4191282422200455,0.9033753540997245,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Canada,0,-0.013073314045736074,0.061820187961138605,0.05350291484736865,-0.11699260839352024,0.10203980643775427,-0.09099549794994191,0.06613674273274049,-0.09400931460896295,0.06474642184129574,0.06657520207637523,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Canada,0,-0.0372940405606037,0.17635349301800077,0.15262693678494496,-0.3337430025359044,0.2910873759149796,-0.2595814480938214,0.18866726198056105,-0.26817891621326984,0.18470111510025208,0.1899180481613629,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Canada,1,0.10268123889790085,0.06603297522189813,0.05296518892726651,-0.03011629488073954,0.20408896317907013,0.017092731178555233,0.19254942163677263,0.03607729037050171,0.174827503201427,0.07118700852881753,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Canada,1,0.2929171803625669,0.18837124600904157,0.15109297437842586,-0.0859122881075228,0.5822014252961559,0.04876016958167116,0.5492827538082958,0.10291712764545721,0.49872771148105566,0.20307407702239474,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Canada,3,-0.09809858674523449,0.060672814796715976,0.03724331638108582,-0.1683286133640694,0.0540404879119637,-0.1619242377434059,-0.03363569726751233,-0.14965464268879905,-0.04165121578348229,0.06758939248511645,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Canada,3,-0.27984431952110195,0.17308039935694228,0.10624343199195349,-0.4801884290660998,0.15416046314292567,-0.461918765893718,-0.09595203280440773,-0.4269174820549095,-0.11881777836846778,0.19281121343739374,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Canada,6,0.012738809251879524,0.060601320097707086,0.05146903408442242,-0.12627260342915406,0.13292373899017662,-0.08555811592435339,0.10840538655691905,-0.05957394864316421,0.08072397299186741,0.07878308280222816,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Canada,6,0.03633980391439758,0.17287644753605141,0.14682491662361577,-0.3602159006893766,0.3791894921229696,-0.24407031257788586,0.30924636776091724,-0.16994568089474787,0.23028002788272942,0.22474328049007483,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Canada,12,-0.06907601495023105,0.061999118325809295,0.041738364869434885,-0.14304494425941844,0.13519739924639024,-0.1367334968749196,0.004263167429260343,-0.13037533233892876,-0.011286230389946411,0.08457214088322453,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Canada,12,-0.1970520783258473,0.17686392489886946,0.11906638721661181,-0.4080620976851691,0.3856755275321717,-0.3900575294532611,0.012161471717673261,-0.3719196919266263,-0.03219605468563354,0.24125763684417653,log beta x fixed qbar/1e6,20260906,1000,12
leakage_ratio,0,0.9264787910232254,NaN,NaN,-2.2579399557383706,4.974180055137409,NaN,NaN,NaN,NaN,2.198212769263155,MBB recomputes ratio per draw (as 03_leakage). Wild/DWB/OLS SE not available for ratio without a single-equation residualisation — left as NaN.,20260906,1000,12
leakage_ratio,1,4.392720784766389,NaN,NaN,0.49481175452998116,14.133378725382883,NaN,NaN,NaN,NaN,4.145461085365623,MBB recomputes ratio per draw (as 03_leakage). Wild/DWB/OLS SE not available for ratio without a single-equation residualisation — left as NaN.,20260906,1000,12
leakage_ratio,3,NaN,NaN,NaN,-3.4754262540455945,13.831958726538815,NaN,NaN,NaN,NaN,5.2606033375636505,MBB recomputes ratio per draw (as 03_leakage). Wild/DWB/OLS SE not available for ratio without a single-equation residualisation — left as NaN.,20260906,1000,12
leakage_ratio,6,1.1234718601553233,NaN,NaN,-4.287427072668727,8.409221470786088,NaN,NaN,NaN,NaN,3.8591636910197007,MBB recomputes ratio per draw (as 03_leakage). Wild/DWB/OLS SE not available for ratio without a single-equation residualisation — left as NaN.,20260906,1000,12
leakage_ratio,12,-6.029644602563603,NaN,NaN,-9.883505458798274,5.036704950924085,NaN,NaN,NaN,NaN,4.535018361617738,MBB recomputes ratio per draw (as 03_leakage). Wild/DWB/OLS SE not available for ratio without a single-equation residualisation — left as NaN.,20260906,1000,12
japan_total_log,0,-0.016045679071022594,0.027773401417965957,0.027192212321454585,-0.0801165487794531,0.02471905573601552,-0.06364022967384424,0.03275037947984191,-0.05180417156382144,0.022168057864673876,0.03186492538464091,05-style binary z,20260906,1000,12
japan_total_log,1,0.01470803928531226,0.030088411353023856,0.026656257939221415,-0.047070123565606484,0.05728723432849584,-0.03330740121252567,0.0636701148993764,-0.02686693382466267,0.056630060741964985,0.031719561669939916,05-style binary z,20260906,1000,12
japan_total_log,3,0.019808534155256838,0.031024475185774725,0.04382425147448791,-0.06608949860628326,0.09109653256559228,-0.05138261827335396,0.08680954643566235,-0.05384323424466833,0.09067477752962066,0.04777690917078283,05-style binary z,20260906,1000,12
japan_total_log,6,0.01628443372664186,0.03224036486275358,0.023837830519862598,-0.06793485633176977,0.05461953720010888,-0.03521128016782572,0.06361927439732167,-0.019000106455119806,0.051280913490947634,0.03725057554160445,05-style binary z,20260906,1000,12
japan_total_log,12,-0.025991839696916114,0.03391490648459802,0.022687454826786593,-0.07618959967853982,0.06993280314576604,-0.06814910822390213,0.015485264641267362,-0.05354307950408749,0.0027523648442603307,0.044414104201916674,05-style binary z,20260906,1000,12
japan_from_aus_log,0,-0.039045955745013704,0.031566989714632995,0.022999174728289936,-0.0905508633583686,7.703622747401795e-5,-0.07852974476012733,0.001505745390254821,-0.07223331938735388,-0.006056186011113876,0.027546474038250033,05-style binary z,20260906,1000,12
japan_from_aus_log,1,-0.031150213287232935,0.0328109384424953,0.027411940522153948,-0.08247916950612841,0.021293122334236716,-0.07859543833874215,0.017094723002691957,-0.07734497788076897,0.012990214915221636,0.031541730042664175,05-style binary z,20260906,1000,12
japan_from_aus_log,3,0.03552945751799232,0.03361150681258563,0.043581232256566224,-0.06774588809741798,0.09354257644110908,-0.04325774987669963,0.11496314742647243,-0.038878248748394954,0.1075991603407341,0.04902384940380762,05-style binary z,20260906,1000,12
japan_from_aus_log,6,0.017357038917387067,0.03418517243395172,0.024303504501954617,-0.05637227168471035,0.06665335369141738,-0.02449762551803476,0.056923014333408524,-0.018797357524069892,0.05466092272612401,0.037393807105206,05-style binary z,20260906,1000,12
japan_from_aus_log,12,-0.030943540238315994,0.035785382411922084,0.03617109656406138,-0.0739299730956676,0.07501244867085989,-0.09543872312389767,0.031279383341576164,-0.08571627442994008,0.02942924283419895,0.04527125281657371,05-style binary z,20260906,1000,12
