series,h,beta,mbb_lo,mbb_hi
total_log,8,0.10331125043205075,-0.15234895544577612,0.16936378460233642
total_log,9,0.019778186987824232,-0.16236002521534892,0.16010492847249036
total_log,10,0.057537018140990874,-0.1831658003970727,0.15499832875329253
total_log,11,-0.0190681913192552,-0.1891093758218274,0.15965001196717082
total_log,12,-0.021288699851990386,-0.17953714524196474,0.15634512539095688
from_aus_log,0,-0.05929367250433296,-0.219375473029846,-0.0006056579678585838
from_aus_log,1,-0.04468062488591571,-0.13071146991383187,0.06544624991656758
from_aus_log,2,0.04876457325537523,-0.1511483787134037,0.14109486500151217
from_aus_log,3,0.028030304889772747,-0.17337981720358964,0.13210813591343135
from_aus_log,4,-0.039135875493833266,-0.16152927796067607,0.09909563095930418
from_aus_log,5,-0.035019382607312535,-0.1507974184148072,0.12264528473637556
from_aus_log,6,-0.03189804987846342,-0.13577012090964927,0.12747510153026997
from_aus_log,7,-0.0337153863405457,-0.14067231856470996,0.11896163431751058
from_aus_log,8,0.045784657071830895,-0.13591876660433602,0.1385440707368806
from_aus_log,9,-0.004530688809975685,-0.14226963311389926,0.12809745400086797
from_aus_log,10,0.012475971602121065,-0.14623790186892072,0.13172261689814146
from_aus_log,11,0.004704187268322408,-0.1745623992199249,0.1357571028235583
from_aus_log,12,-0.005472787814378045,-0.1639373766053695,0.13665946765325
total_mt,0,-0.9896795300939825,-2.822048144317601,0.20499705646773514
total_mt,1,0.4935701528746473,-1.792470810881166,1.8096013079023971
total_mt,2,-0.38179654129909474,-2.693017840799932,2.1414789146630095
total_mt,3,0.43213303560766175,-2.7390761506036103,2.5587091937012296
total_mt,4,0.5097503050817228,-2.4237977373071633,2.288270351656521
total_mt,5,0.949307610372541,-2.8505062628634565,2.6231001855072473
total_mt,6,0.5023991358286723,-2.3915725682340376,1.932293578706298
total_mt,7,0.6655855912219927,-2.3012522921429284,2.1450499570673873
total_mt,8,1.4313334189252083,-2.080786548499663,2.615267644593756
total_mt,9,0.3145022014967015,-2.3514332270785756,2.3998828667812644
total_mt,10,0.9860823745163536,-2.582341887217926,2.3319253073951787
total_mt,11,-0.05388292243309602,-2.6136273434568027,2.337457637994393
total_mt,12,-0.22726792167660817,-2.6130230655727438,2.315232575486141
from_aus_mt,0,-0.5288276928602805,-1.9787525172866194,-0.016443965972177087
from_aus_mt,1,-0.4077759351662012,-1.1214975177687125,0.6260475043939446
from_aus_mt,2,0.421269539935929,-1.394489038975844,1.2476658644060754
from_aus_mt,3,0.26501799821133365,-1.510049051732087,1.2341999718076506
from_aus_mt,4,-0.4159166430798209,-1.4905358756945992,0.8505352453981457
from_aus_mt,5,-0.33532470049370827,-1.3717659393681045,1.1292083458068012
from_aus_mt,6,-0.3207750593120548,-1.243635389623987,1.1872726686672457
from_aus_mt,7,-0.3542273716126385,-1.3203507013566356,1.1033216808004953
from_aus_mt,8,0.4603897688538292,-1.2322331751801434,1.3259061274882937
from_aus_mt,9,-0.030677995368268287,-1.290520335264247,1.225704634651679
from_aus_mt,10,0.1411972271414326,-1.3692486060401732,1.2141778818108224
from_aus_mt,11,0.11491218299223092,-1.5268831546430048,1.319015288554577
from_aus_mt,12,0.02757090422108442,-1.4828240835174193,1.310472420520284
