exporter,h,beta_log,mt_from_log,beta_level_mt
Indonesia,14,0.017817406563022237,0.5151842318467451,0.5686650536830961
Indonesia,15,-0.011037501497772101,-0.31914559004554055,-0.2619259109325193
Indonesia,16,-0.003912756212361568,-0.1131360109306026,-0.019066358139742137
Indonesia,17,-0.030156487870938442,-0.8719645580310439,-0.8538731577970183
Indonesia,18,-0.03171775352680375,-0.9171080217995015,-1.198640928657528
USA,0,0.03418523222407495,0.25880249647620185,0.15569868138694914
USA,1,0.11446435100427726,0.8665630703708586,0.781806540481398
USA,2,0.10912994959225054,0.8261784857762734,0.5818287507111245
USA,3,0.05595575096851676,0.4236182439227135,0.1724413281080582
USA,4,0.02834423256314524,0.21458266247721947,0.006196689957734168
USA,5,0.05009106907913084,0.37921912139918895,0.1013327665766506
USA,6,-0.021870114498232344,-0.16556974641163397,-0.3310992492741604
USA,7,0.06163600964783974,0.4666211732930194,0.16852676180664555
USA,8,-0.03005637387016905,-0.2275445883074536,-0.26705810340038816
USA,9,0.009330359574796287,0.07063635944170493,-0.23018559033498479
USA,10,-0.007223076729888199,-0.054682977657754116,-0.21353585681223325
USA,11,0.03339124662788657,0.25279155429178735,0.24717259340258818
USA,12,0.08421720543123185,0.6375742270518315,0.6574121597258406
USA,13,0.05169694008798751,0.39137651800210493,0.40371982524189837
USA,14,0.02861274009730007,0.21661542386688765,0.1363581960568609
USA,15,0.04850422584678645,0.3672057763572362,0.3854977567930431
USA,16,0.01884382854394001,0.14265896567192776,0.15859158150597918
USA,17,0.006739588062967507,0.05102268150423247,0.0828242930527612
USA,18,0.04523095701892921,0.3424251886831647,0.4158574293259902
Colombia,0,-0.05443799310705772,-0.3114797102786879,-0.6399398818618242
Colombia,1,0.23131938924597026,1.3235479897740137,1.5769123018336644
Colombia,2,-0.07061921150486825,-0.40406433603067515,0.19402807033699668
Colombia,3,-0.020894081143608894,-0.11955037226210571,0.14889092891526579
Colombia,4,0.09509837200106756,0.5441275783369596,0.5915514113929209
Colombia,5,0.12170769681488008,0.6963790540189916,0.9066215562013072
Colombia,6,0.024746391405754648,0.1415922664589954,0.7171112080437695
Colombia,7,-0.09232605073452599,-0.5282650937812998,-0.3740152725191307
Colombia,8,0.03802654500472434,0.21757777142294069,0.6768488467369422
Colombia,9,0.04416320318917849,0.2526900965524522,0.6661208732810744
Colombia,10,-0.017607320012761794,-0.10074439969845549,-0.2579857540350938
Colombia,11,0.20013902677669618,1.1451422530082542,1.29916929606539
Colombia,12,0.04952175062726451,0.2833502790512308,0.2872960115847727
Colombia,13,-0.0033909397261653934,-0.01940205476350589,-0.030360662869005663
Colombia,14,-0.32774576530793226,-1.8752740539574821,-1.2153740401982898
Colombia,15,0.16145309478079298,0.9237916446886628,0.844278494284279
Colombia,16,0.026575098700786615,0.1520556429710739,0.2670312964203801
Colombia,17,0.05277461922157367,0.3019623275398203,0.01129683342567177
Colombia,18,0.08925158110513169,0.5106737966969074,0.3694718413791858
Canada,0,-0.013073314045736074,-0.0372940405606037,-0.024665474337534837
Canada,1,0.10268123889790085,0.2929171803625669,0.2297329511976989
Canada,2,-0.014191832215195481,-0.04048482002430033,-0.09081514664217505
Canada,3,-0.09809858674523449,-0.27984431952110195,-0.2655589851446901
Canada,4,-0.01412612679367353,-0.04029738318565953,-0.047010137274823234
Canada,5,0.08328507172916529,0.2375860345964326,0.21661322529741045
Canada,6,0.012738809251879524,0.03633980391439758,0.012453474695113176
Canada,7,-0.02338714787754534,-0.06671615464071907,-0.10339717649263266
Canada,8,-0.04819045488201291,-0.1374721644960333,-0.16986184627192813
Canada,9,0.0046868649940690335,0.013370147200578686,-0.036987681877435716
Canada,10,0.0235862110531426,0.06728401907959625,0.06411584930309142
Canada,11,-0.10370552170432983,-0.2958391360652184,-0.26148368983237336
Canada,12,-0.06907601495023105,-0.19705207832584734,-0.19255864468394132
Canada,13,0.08071204232979624,0.23024599346776467,0.21394304658524696
Canada,14,-0.028939224519419347,-0.08255447771268438,-0.10847601954965114
Canada,15,-0.019711242576415693,-0.05622995650322543,-0.07512788962438915
Canada,16,-0.008605450031943896,-0.024548634065609223,-0.018558746665729084
Canada,17,0.02132988618021474,0.06084743604988499,0.04638040762394846
Canada,18,0.016185953505239346,0.04617341895288762,0.02113674979685725
