exporter,h,beta_mt,lo90,hi90
Indonesia,17,-1.2317853585920704,-9.134111905830832,7.448780693072607
Indonesia,18,-0.566407988147741,-8.856870813593508,7.552906281268342
USA,0,-0.11125462578814627,-2.963657190308444,2.4340273132040764
USA,1,-0.023021167809024953,-1.9657713789451492,3.3065947775203095
USA,2,-0.863077429701673,-2.64122823707806,3.440974092382775
USA,3,-1.4611986429296295,-3.719879889728433,2.90260952270288
USA,4,-1.761881086395849,-3.9560683553669582,3.1045861089833253
USA,5,-0.37424334942315435,-3.459852717325144,3.9312008218178427
USA,6,-0.8702424572175856,-3.7334533944482007,3.8919873212632035
USA,7,0.025357808147455144,-3.1858252357689594,4.139523282415201
USA,8,-0.39658630918495297,-4.041108134094359,4.079893064015646
USA,9,-0.8803931300817702,-3.8568477746723713,4.200559595679028
USA,10,-0.9757998910761032,-4.0035660879221115,4.180881033100857
USA,11,-0.3259339006309959,-4.1428239637163085,4.372160662836843
USA,12,1.06212973987728,-4.374858528018028,4.435698061644036
USA,13,1.0179702958665855,-4.2879925185631,4.434937517742068
USA,14,-0.3933253376781115,-4.287877147864026,4.493619503334326
USA,15,-0.18430211163991822,-4.376692655594333,4.484041518519457
USA,16,-0.01986786046833059,-4.332998649592675,4.409217310517544
USA,17,-0.2064855207093301,-4.3012295805201965,4.34611300186211
USA,18,1.3735513124291499,-4.142752405418902,4.321805081758763
Colombia,0,-0.453668011953741,-3.588090499284495,1.638140506256079
Colombia,1,2.2899849197107924,-0.16798270071459903,4.721837607371796
Colombia,2,1.0521038795624365,-2.9195132713472005,2.7260050066196584
Colombia,3,0.4899898217147832,-1.929688023065093,3.369244746337027
Colombia,4,0.7830053710747525,-3.2553316989568906,3.324181988001416
Colombia,5,2.376908817900229,-2.878389504136283,4.461540219281158
Colombia,6,1.9224977844578859,-3.141106477669586,3.7683473376382497
Colombia,7,-0.598095502249897,-3.943736311463794,2.6186863792288477
Colombia,8,1.7419961344369543,-3.1350259208012927,4.456128559514793
Colombia,9,2.0962897932826725,-3.391271453132687,4.40370677014441
Colombia,10,-0.13442323672933115,-3.273790438516231,3.2902931317349737
Colombia,11,2.0889974145606756,-3.2987325812463126,3.753928505568186
Colombia,12,1.0808574599104177,-3.4083346516850517,3.5743768508005545
Colombia,13,0.34713225243461393,-3.3836150173406625,3.5402682633829956
Colombia,14,-1.4465085973637686,-3.4352492668915358,3.5128557946303594
Colombia,15,1.0540887816543134,-3.3711502904860886,3.706887757423036
Colombia,16,0.5483388494005358,-3.4713836477238025,3.562451361709306
Colombia,17,0.2644331927265822,-3.3542600018723734,3.6128759968221686
Colombia,18,0.9006197332987604,-3.319206887190049,3.5683475534763227
Canada,0,-0.23333293580818318,-0.8195245524725683,0.13742647674506897
Canada,1,-0.006679161448884383,-0.44371031292280505,0.43228893872443946
Canada,2,-0.29394733032103854,-0.8007289403898792,0.2402887819414029
Canada,3,-0.36300661897630465,-0.9243982378463258,0.24200652451236795
Canada,4,-0.007718421621493526,-0.5176465623791073,0.5294094019831217
Canada,5,0.2590830474025441,-0.4900279565564603,0.7129747297965855
Canada,6,-0.026275118415347232,-0.6354420996465302,0.6978908264460533
Canada,7,-0.12159873477000555,-0.6353964408075764,0.8243114963768113
Canada,8,-0.005238026269884055,-0.7269179759815687,0.6718959400675122
Canada,9,0.2475656084464688,-0.6129279111240806,0.742103745007875
Canada,10,0.217334598963569,-0.6633849774095548,0.7741967559624789
Canada,11,-0.2486446749607836,-0.7477934991581461,0.705173576974955
Canada,12,-0.23248279552817236,-0.7339616934201951,0.7009711416977489
Canada,13,0.23727446506734462,-0.7036153200537076,0.7252586071564481
Canada,14,-0.16672313202259922,-0.7267556472326696,0.7130699033260882
Canada,15,-0.10443119385600337,-0.7370140816773949,0.7232509826571906
Canada,16,0.0172369926743879,-0.7517997232462187,0.7350136830900679
Canada,17,0.23982763923450037,-0.7407544169456229,0.7227887826378377
Canada,18,-0.008690442438560772,-0.7278151372007645,0.7695867552702891
SUM_ex_Australia,0,-1.392039077859433,-8.682662019344443,3.2351311346359752
SUM_ex_Australia,1,2.677100793075832,-2.4306360185044933,8.231365052920317
SUM_ex_Australia,2,-1.1138744284465798,-7.1219188632714765,5.0147018126936596
SUM_ex_Australia,3,-0.8569717651774456,-6.6399090759855435,7.8697832221057284
SUM_ex_Australia,4,-0.9353997320521144,-8.290114628478966,6.244611780137506
SUM_ex_Australia,5,3.15921697142477,-7.01923869355229,8.750391165480785
SUM_ex_Australia,6,2.6920879149066907,-7.341252918481551,9.40839560212094
SUM_ex_Australia,7,0.07238143469649322,-8.53977313737471,8.21428741870755
SUM_ex_Australia,8,0.9286972955133328,-9.150493400831785,9.783165625548197
SUM_ex_Australia,9,0.8856222271524332,-9.536452260497638,9.234768910530374
SUM_ex_Australia,10,-1.4960487445799338,-10.312400289969705,8.477946667693843
SUM_ex_Australia,11,2.564567779647781,-9.811312663258397,9.495612213070753
SUM_ex_Australia,12,-1.0834835931181783,-10.566047048975145,8.888273981097441
SUM_ex_Australia,13,0.9386100036432874,-10.432357952953414,9.089156285639167
SUM_ex_Australia,14,-0.6489985312266481,-10.627426310007074,9.017200880310059
SUM_ex_Australia,15,2.1284316477914462,-10.570668501825867,9.036091892690463
SUM_ex_Australia,16,1.152171963160839,-10.528783078913193,8.869727387252118
SUM_ex_Australia,17,-0.934010047340318,-10.356860519706073,8.854534399086129
SUM_ex_Australia,18,1.6990726151416087,-9.972884163440167,8.981782569218668
