date,partner,tonnes
2019-01,South Africa,59774.5
2019-01,USA,89318.8
2019-01,World,1682928.057
2019-03,Australia,243528.941
2019-03,Canada,2406.19
2019-03,Colombia,45582.9
2019-03,Russia,693980.0
2019-03,South Africa,56500.0
2019-03,USA,16431.6
2019-03,World,1318787.008
2019-05,Australia,162848.196
2019-05,Canada,0.15
2019-05,Colombia,288108.0
2019-05,Russia,458656.7
2019-05,South Africa,10006.15
2019-05,USA,33526.0
2019-05,World,992134.896
2019-06,Australia,233699.0
2019-06,Canada,3276.93
2019-06,Colombia,186169.0
2019-06,Russia,165762.8
2019-06,South Africa,500.0
2019-06,USA,29725.5
2019-06,World,671944.081
2019-08,Australia,163330.0
2019-08,Colombia,164335.0
2019-08,Russia,300153.9
2019-08,South Africa,3654.82
2019-08,USA,12345.663
2019-08,World,664644.825
2019-10,Australia,242364.631
2019-10,Canada,3765.81
2019-10,Colombia,242699.0
2019-10,Russia,486912.0
2019-10,South Africa,550.0
2019-10,USA,179380.0
2019-10,World,1160969.566
2019-11,Australia,161980.0
2019-11,Canada,991.488
2019-11,Colombia,517888.036
2019-11,Indonesia,24212.9
2019-11,Russia,470823.0
2019-11,South Africa,16199.8
2019-11,USA,85422.001
2019-11,World,1439985.932
2019-12,Australia,246425.749
2019-12,Colombia,178502.0
2019-12,Russia,337376.0
2019-12,USA,61795.842
2019-12,World,832295.201
2020-01,Australia,6.092
2020-01,Colombia,35873.98
2020-01,Russia,530937.456
2020-01,South Africa,9318.41
2020-01,USA,134810.79
2020-01,World,1139186.865
2020-03,Australia,1.25
2020-03,Colombia,416838.635
2020-03,Russia,597021.633
2020-03,South Africa,5602.22
2020-03,USA,137182.735
2020-03,World,1448203.709
2020-04,Australia,20.2
2020-04,Colombia,83448.7
2020-04,Russia,146714.6
2020-04,South Africa,400.073
2020-04,USA,95323.0
2020-04,World,332571.152
2020-06,Australia,4.0
2020-06,Colombia,72952.8
2020-06,Russia,157731.985
2020-06,USA,102114.9
2020-06,World,339655.575
2020-07,Colombia,192614.7
2020-07,Russia,159487.184
2020-07,USA,99757.5
2020-07,World,467628.033
2020-09,Colombia,429525.3
2020-09,Russia,307648.6
2020-09,USA,121762.5
2020-09,World,986562.747
2020-10,Colombia,186268.8
2020-10,Russia,574683.856
2020-10,USA,94432.0
2020-10,World,1021557.543
2020-12,Australia,12.769
2020-12,Colombia,45482.37
2020-12,Russia,487491.78
2020-12,South Africa,16131.3
2020-12,USA,7553.202
2020-12,World,718892.866
2021-02,Australia,82506.678
2021-02,Colombia,224846.68
2021-02,Russia,419435.503
2021-02,USA,129709.6
2021-02,World,1058096.377
2021-04,Australia,161157.903
2021-04,Colombia,359005.5
2021-04,Russia,357456.495
2021-04,USA,272228.707
2021-04,World,1323021.632
2021-05,Australia,285894.0
2021-05,Colombia,363772.74
2021-05,Russia,347707.85
2021-05,USA,106211.6
2021-05,World,1108308.414
2021-07,Australia,310848.495
2021-07,Colombia,620750.972
2021-07,Russia,442155.233
2021-07,South Africa,29494.1
2021-07,USA,39817.524
2021-07,World,1444303.805
2021-09,Australia,168675.845
2021-09,Canada,2.011
2021-09,Colombia,186466.51
2021-09,Indonesia,3.592
2021-09,Russia,234849.914
2021-09,South Africa,41025.7
2021-09,USA,141081.443
2021-09,World,794788.357
2021-11,Australia,164942.183
2021-11,Canada,2.02
2021-11,Colombia,452601.16
2021-11,Indonesia,0.015
2021-11,Russia,256257.03
2021-11,South Africa,61535.523
2021-11,USA,311993.315
2021-11,World,1475060.124
2022-01,Australia,1.975
2022-01,Canada,1.663
2022-01,Colombia,209336.651303
2022-01,Russia,269083.22
2022-01,South Africa,1759.13
2022-01,USA,62000.049
2022-01,World,546916.438303
2022-02,Canada,0.008
2022-02,Colombia,387374.101
2022-02,Russia,198827.762
2022-02,South Africa,500.034
2022-02,USA,51182.508
2022-02,World,643777.367
2022-04,Australia,13.501
2022-04,Canada,1.35
2022-04,Colombia,188239.6
2022-04,Russia,186618.059
2022-04,South Africa,14501.8
2022-04,USA,34845.1
2022-06,Australia,6.099
2022-06,Canada,88899.4
2022-06,Colombia,245685.882
2022-06,Russia,266233.0
2022-06,South Africa,81932.557
2022-06,USA,59883.818
2022-06,World,794820.979
2022-08,Australia,0.04
2022-08,Canada,7913.963
2022-08,Colombia,581475.44
2022-08,Russia,6734.01
2022-08,South Africa,355476.01
2022-08,USA,39029.334
2022-08,World,1028588.989
2022-10,Australia,0.01
2022-10,Canada,2.3
2022-10,Colombia,216507.033
2022-10,South Africa,233406.0
2022-10,USA,34990.402
2022-10,World,564436.013
2022-12,Australia,0.029
2022-12,Canada,86678.218
2022-12,Colombia,385836.74
2022-12,Indonesia,10000.0
2022-12,South Africa,432767.005
2022-12,USA,18700.003
2022-12,World,1023400.007
2023-02,Australia,161918.69
2023-02,Canada,2.338
2023-02,Colombia,287525.4
2023-02,Russia,29699.1
2023-02,South Africa,124271.442
2023-02,USA,337050.0
2023-02,World,1001764.06
2023-03,Australia,325979.92
2023-03,Canada,30053.2
2023-03,Colombia,298525.303
2023-03,Indonesia,0.354
2023-03,South Africa,268562.141
2023-03,USA,281585.868
2023-03,World,1350580.744
2023-04,Australia,128790.337
2023-04,Canada,6580.88
2023-04,Colombia,194653.07
2023-04,South Africa,72433.522
2023-04,USA,264668.304
2023-04,World,779607.719
2023-05,Australia,304861.517
2023-05,Canada,60275.023
2023-05,Colombia,335696.63
2023-05,South Africa,77246.903
2023-05,USA,200932.939
2023-05,World,992604.344
2023-06,Australia,153241.0
2023-06,Canada,79163.34
2023-06,Colombia,273955.52
2023-06,South Africa,156815.21
2023-06,USA,223384.519
2023-06,World,1014489.891
2023-08,Australia,115021.645
2023-08,Canada,0.03
2023-08,Colombia,226154.52
2023-08,Indonesia,0.001
2023-08,South Africa,79850.905
2023-08,USA,136691.336
2023-08,World,659918.884
2023-09,Australia,147477.709
2023-09,Canada,57300.018
2023-09,Colombia,252886.466
2023-09,Indonesia,0.358
2023-09,South Africa,38387.237
2023-09,USA,125068.958
2023-09,World,627626.431668
2023-11,Australia,103007.117
2023-11,Canada,163679.005
2023-11,Colombia,327282.6
2023-11,Indonesia,9.102
2023-11,South Africa,45904.615
2023-11,USA,134736.541
2023-11,World,871630.764
2023-12,Australia,279174.653
2023-12,Colombia,374682.072
2023-12,Indonesia,0.651
2023-12,South Africa,57243.71
2023-12,USA,278563.205
2023-12,World,1101474.511
2024-02,Australia,191261.0
2024-02,Canada,175571.0
2024-02,Colombia,185287.75
2024-02,South Africa,242425.0
2024-02,USA,139753.371
2024-02,World,952836.924591
2024-03,Australia,207488.81
2024-03,Canada,0.003
2024-03,Colombia,20026.593
2024-03,Russia,74777.0
2024-03,South Africa,36501.7
2024-03,USA,182307.4
2024-03,World,530582.554858
2024-04,Australia,220837.65
2024-04,Canada,0.439
2024-04,Colombia,91031.101
2024-04,Indonesia,0.011
2024-04,South Africa,17400.305
2024-04,USA,264588.1
2024-04,World,595131.0440290001
2024-05,Australia,140374.6
2024-05,Canada,160635.042
2024-05,Colombia,5000.9
2024-05,South Africa,7188.78
2024-05,USA,255002.75
2024-05,World,607851.734
2024-07,Australia,178632.912
2024-07,Colombia,81273.1
2024-07,South Africa,99099.1
2024-07,USA,270852.85
2024-07,World,679827.867375
2024-09,Australia,197858.026
2024-09,Colombia,39363.12
2024-09,South Africa,185634.0
2024-09,USA,154300.983
2024-09,World,592875.383563
2024-11,Australia,356172.0
2024-11,Canada,9680.0
2024-11,Colombia,84498.63
2024-11,South Africa,104569.0
2024-11,USA,359346.704
2024-11,World,973875.89
2024-12,Australia,243063.755
2024-12,Canada,13319.9
2024-12,Colombia,195309.288
2024-12,Russia,25000.0
2024-12,South Africa,216748.143
2024-12,USA,208709.5
2024-12,World,1045982.1
